Keturah Eckstein ,10082791,andersbr@example.ecu.edu.au,  CSG2344 CSI3302 CSI2104 CSG3303
Gwenn Spielman ,10066875,grdschl@example.ecu.edu.au,  CSI3208 CSI3302 CSG3309
Danna Wible ,10032785,penna@example.ecu.edu.au,  CSI3208 CSG2344 CSI2441 CSI2104
Berenice Kintner ,10026372,bbirth@example.ecu.edu.au,  CSG1102 CSG1105 CSP1150
Usha Flora ,10020194,fglock@example.ecu.edu.au,  CSP1150 CSI1241 ENS1161 CSG1132
Ming Donald ,10055358,schwaang@example.ecu.edu.au,  CSP1150 CSI1241 ENS1161 CSG1132
Ronnie Gaydos ,10005058,ivoibs@example.ecu.edu.au,  CSG1132
King Orduna ,10062686,hermanab@example.ecu.edu.au,  CSP1150 CSI1241 ENS1161 CSG1132
Young Curiel ,10024634,catalog@example.ecu.edu.au,  CSI3208 CSG2344 CSI3302
Angelic List ,10013022,zyghom@example.ecu.edu.au,  CSI3208 CSG2344 CSG3309 CSI2104
Ingrid Searle ,10051010,unreal@example.ecu.edu.au,  CSG2344 CSI3302 CSG3309 CSI2104
Rey Vonruden ,10067457,jfreedma@example.ecu.edu.au,CSG5201
Bernetta Bump ,10019410,sonnen@example.ecu.edu.au,  CSP1150 CSI1241 ENS1161 CSG1132
Stefanie Mccluskey ,10007221,jsbach@example.ecu.edu.au,  CSI3208 CSG2344 CSI2102 CSI2104
Chi Luc ,10063562,johndo@example.ecu.edu.au,CSG6206 CSP6522
Luna Ream ,10080678,fraser@example.ecu.edu.au,  CSG2344 CSI2441
Alonso Mariani ,10086269,william@example.ecu.edu.au,  CSG1102 CSG2344
Klara Siggers ,10001157,attwood@example.ecu.edu.au,  CSP5110 CSI5133 CSI5122 CSI5208
Casie Fine ,10065895,geeber@example.ecu.edu.au,  CSG2344 CSI2441 CSG2341 CSG2431
Logan Orner ,10066478,staikos@example.ecu.edu.au,  CSG2344 CSP2307 CSG2245 CSG2341
